date,type,category,amount,content
2026/02/13,expense,교육,3만 원,책 강의 자료 구매
2026년 02월 24일,용돈,상여,300천원,성과급 입금
2026-04-04,수입,월급,230만 원,월급 수령
2025년 11월 02일,수입,월급," 2,300,000 원 ",월급 수령
2026/03/29,expense,식비,9천원,배달 음식 주문
2025년 09월 26일,spend,식비,1만 원,배달 음식 주문
2025/01/02,refund,월급,2200천원,정기 급여
2026년 01월 29일,spend,통신,1만 원,휴대폰 요금
2025년 10월 05일,payment,식비,3만 원,점심 식사
2025-11-17,지출,식비,3만 원,점심 식사
2026-01-18,입금,용돈,7만 원,가족 지원금
2026-01-02,used,여가,5천원,주말 나들이
2025년 04월 30일,allowance,환급,"18,000원",세금 환급
2025.03.09,used,식비," 9,000 원 ",저녁 식사
2025년 08월 24일,expense,통신,"55,000원",휴대폰 요금
2025.05.07,other,의료,4만 원,영양제 구매
2025/08/07,used,여가,7만 원,여행 경비
2025년 09월 13일,출금,여가,12천원,여행 경비
2026.04.02,expense,문화,15천원,책 구매
2025/07/10,allowance,월급,240만 원,회사 급여 입금
2025.05.25,payment,생활," 5,000 원 ",세제 구매
2025-09-17,expense,의료,7만 원,병원 진료비
2025.09.01,other,식비,1만 원,점심 식사
2025.01.26,수익,지원금,100천원,장학금 지급
2025.04.02,지출,카페,2천원,음료 구매
2025-07-08,used,식비,"4,500원",저녁 식사
2025-07-29,used,식비,"7,000원",저녁 식사
2025/10/08,spend,교통,12천원,택시 이용
2025.02.16,used,교통,4천원,지하철 이용
2025-01-27,payment,생활," 24,000 원 ",세제 구매
2026년 02월 15일,spend,식비," 12,000 원 ",점심 식사
2025/08/05,수익,월급,260만 원,월급 수령
2025.01.27,spend,의료,"3,000원",영양제 구매
2025-03-29,payback,월급,2300천원,회사 급여 입금
2026-01-21,buy,여가," 25,000 원 ",여행 경비
2025/09/05,spend,생활,5천원,생필품 구입
2026/03/15,bonus,월급,280만 원,회사 급여 입금
2025/09/23,salary,월급,240만 원,정기 급여
2025년 10월 15일,payment,의료,3천원,병원 진료비
2025년 11월 18일,used,의료,40천원,약국 구매
2025년 07월 08일,지출,교통,1천원,택시 이용
2025년 08월 17일,other,통신,2만 원,인터넷 요금
2025-03-07,other,교통,8천원,택시 이용
2025년 03월 08일,payback,이자,1천원,예금 이자 입금
2026-02-06,수익,부수입,40만 원,사이드 수입
2026/03/30,출금,여가,12만 원,주말 나들이
2025년 06월 29일,payment,카페,6천원,디저트 카페
2025/09/15,used,쇼핑,7만 원,온라인 쇼핑
2025/01/19,용돈,월급,"2,600,000원",월급 수령
2025-05-16,입금,상여,50만 원,프로젝트 보너스
2025.10.02,payment,교통,2천원,지하철 이용
2025.07.04,buy,식비,"9,000원",점심 식사
2025-05-10,payment,여가,12만 원,여행 경비
2025년 05월 29일,payment,교통,1천원,버스 충전
2025-12-01,수익,월급,2600천원,월급 수령
2025.10.01,수익,용돈,50천원,부모님 용돈
2025-09-01,bonus,월급,230만 원,월급 수령
2025-03-16,spend,통신,33천원,휴대폰 요금
2025년 10월 15일,other,생활,3만 원,생필품 구입
2026/04/08,수입,월급,270만 원,회사 급여 입금
2026/02/03,bonus,용돈,50천원,가족 지원금
2025-11-26,출금,의료,4만 원,병원 진료비
2025-01-25,other,문화,40천원,전시 관람
2025-08-12,other,쇼핑,2만 원,생활용품 구매
2025년 11월 26일,용돈,월급,2100천원,월급 수령
2025-09-25,buy,카페,2천원,음료 구매
2026/04/09,salary,이자," 12,000 원 ",적금 이자 수령
2025-06-18,other,교통," 4,500 원 ",택시 이용
2025-08-12,used,식비,12천원,편의점 식사
2025/03/29,income,월급,"2,300,000원",월급 수령
2025-01-16,수입,환급,4만 원,카드 캐시백 환급
2025/10/30,expense,식비,2만 원,점심 식사
2025.02.27,income,중고판매,150천원,물건 판매금
2025.03.09,bonus,이자,3천원,적금 이자 수령
2025.01.11,지출,여가,"120,000원",게임 결제
2025-11-05,지출,교육,250천원,책 강의 자료 구매
2026/01/31,수입,상여,"700,000원",프로젝트 보너스
2026/02/28,salary,부수입,18만 원,프리랜서 작업비
2026/01/20,other,식비," 7,000 원 ",편의점 식사
2025.10.31,used,교육,"120,000원",강의 결제
2025-12-25,income,월급,2800천원,정기 급여
2025-07-02,income,중고판매,50천원,물건 판매금
2025/06/05,payback,중고판매," 20,000 원 ",당근 판매 수입
2025.03.06,지출,문화,15천원,전시 관람
2026년 03월 21일,payment,의료,8천원,병원 진료비
2025.05.12,other,식비,1만 원,저녁 식사
2025.12.27,출금,생활,12천원,생필품 구입
2025-06-28,bonus,월급,250만 원,정기 급여
2025.12.03,salary,월급,2500천원,정기 급여
2025년 04월 11일,용돈,중고판매,2만 원,당근 판매 수입
2025.07.24,buy,교통,8천원,택시 이용
2025년 03월 14일,수입,이자,"12,000원",예금 이자 입금
2025/10/28,buy,교통,12천원,택시 이용
2025/11/25,용돈,월급,"2,200,000원",월급 수령
2026-01-01,spend,식비,30천원,편의점 식사
2025-07-29,출금,의료,70천원,병원 진료비
2025/09/08,used,식비,"45,000원",저녁 식사
2025년 04월 13일,other,식비,45천원,저녁 식사
2025년 11월 24일,payment,교통,4천원,택시 이용
2025.12.17,income,상여,1000천원,프로젝트 보너스
2025년 05월 10일,수입,월급,2200천원,월급 수령
2025년 12월 12일,buy,카페," 4,500 원 ",음료 구매
2025/09/27,spend,여가,4만 원,여행 경비
2026/02/02,bonus,부수입,"180,000원",사이드 수입
2025/03/16,spend,생활,"24,000원",세제 구매
2025.08.29,used,교육," 180,000 원 ",책 강의 자료 구매
2025.12.14,용돈,월급,260만 원,회사 급여 입금
2025년 09월 06일,payment,생활,1만 원,세제 구매
2026-02-28,출금,교통,8천원,지하철 이용
2025/04/18,used,의료," 40,000 원 ",약국 구매
2025/04/06,출금,교통,1천원,지하철 이용
2025/12/19,used,통신,22천원,인터넷 요금
2026.01.15,expense,의료,40천원,약국 구매
2026/02/28,수입,상여,"500,000원",명절 상여금
2025년 05월 07일,지출,쇼핑,25천원,옷 구매
2025-09-12,payment,교육,8만 원,책 강의 자료 구매
2025년 07월 04일,지출,식비,18천원,점심 식사
2026-04-05,refund,월급," 2,300,000 원 ",월급 수령
2025.07.07,buy,통신,33천원,인터넷 요금
2025.10.11,입금,월급,2800천원,월급 수령
2025-05-20,buy,교통,1만 원,지하철 이용
2025년 06월 12일,expense,식비,4천원,편의점 식사
2025-01-26,지출,식비,"12,000원",편의점 식사
2025년 10월 06일,expense,생활,12천원,마트 장보기
2025-03-31,수입,월급,2700천원,회사 급여 입금
2026년 02월 26일,용돈,월급,250만 원,회사 급여 입금
2025-01-11,지출,의료,"25,000원",영양제 구매
2026-02-01,spend,생활,24천원,마트 장보기
2025-11-01,출금,여가,4만 원,게임 결제
2025-08-30,수입,월급,2700천원,회사 급여 입금
2025/03/04,buy,교육,250천원,강의 결제
2025/05/22,출금,카페,"2,500원",디저트 카페
2025.02.13,other,생활," 24,000 원 ",생필품 구입
2025.01.27,지출,식비,7천원,편의점 식사
2025.11.04,allowance,부수입,250천원,프리랜서 작업비
2025.10.22,출금,쇼핑," 25,000 원 ",생활용품 구매
2025.03.25,spend,교통,"18,000원",지하철 이용
2025-10-18,payment,카페,"9,000원",음료 구매
2025년 11월 04일,buy,생활,24천원,세제 구매
2026.04.04,수입,상여,300천원,명절 상여금
2025/10/28,지출,문화,1만 원,영화 관람
2026-03-12,other,생활,18천원,생필품 구입
2025년 09월 06일,buy,식비,15천원,점심 식사
2025년 04월 16일,지출,생활,80천원,세제 구매
2025.10.02,buy,통신," 45,000 원 ",알뜰폰 요금
2025/09/25,buy,쇼핑,2만 원,생활용품 구매
2026/02/17,payment,교통,4천원,택시 이용
2025.09.10,other,식비,7천원,저녁 식사
2025년 06월 26일,expense,생활,5천원,마트 장보기
2025/04/20,refund,이자,1천원,적금 이자 수령
2025-01-20,spend,여가,5천원,여행 경비
2025년 07월 09일,expense,쇼핑," 180,000 원 ",온라인 쇼핑
2025년 12월 28일,buy,카페,7천원,카페 커피
2026.03.12,bonus,지원금," 100,000 원 ",장학금 지급
2025년 01월 31일,지출,여가,2만 원,주말 나들이
2025-03-16,buy,식비,15천원,편의점 식사
2025년 07월 10일,allowance,월급,270만 원,회사 급여 입금
2025-03-15,other,교육,18만 원,강의 결제
2026년 03월 03일,입금,중고판매," 100,000 원 ",중고거래 판매대금
2025/07/17,other,생활,18천원,세제 구매
2025년 11월 18일,지출,교통,1천원,택시 이용
2025/03/16,spend,식비,2만 원,저녁 식사
2025-10-20,출금,교통,2천원,지하철 이용
2026.04.08,지출,식비,1만 원,편의점 식사
2026-01-22,용돈,월급,2400천원,회사 급여 입금
2025년 08월 01일,used,식비,"9,000원",점심 식사
2025년 06월 24일,used,쇼핑,2만 원,옷 구매
2025/07/29,salary,용돈,"50,000원",용돈 받음
2025/04/11,other,통신,3만 원,휴대폰 요금
2025-12-09,used,통신,22천원,휴대폰 요금
2025.09.24,지출,문화,2만 원,책 구매
2025/11/24,지출,쇼핑," 55,000 원 ",옷 구매
2025.05.17,입금,용돈,30천원,부모님 용돈
2026-03-16,allowance,상여,700천원,성과급 입금
2025년 05월 06일,payment,교육,250천원,수업 교재비
2026-04-05,allowance,부수입,180천원,사이드 수입
2025/10/03,income,월급,240만 원,정기 급여
2025/06/09,수입,부수입,5만 원,프리랜서 작업비
2026-03-05,buy,생활,50천원,세제 구매
2025.02.18,expense,식비,3만 원,편의점 식사
2025년 03월 04일,buy,식비,"12,000원",저녁 식사
2025년 03월 26일,spend,식비," 22,000 원 ",점심 식사
2025년 01월 27일,buy,교통,"18,000원",지하철 이용
2025-10-16,spend,여가,20만 원,주말 나들이
2025-03-17,buy,여가,200천원,게임 결제
2025-09-29,bonus,월급,300만 원,정기 급여
2025-08-04,other,통신," 18,000 원 ",휴대폰 요금
2025-11-14,용돈,환급,43천원,배송비 환급
2025-05-09,bonus,월급,210만 원,월급 수령
2025년 11월 28일,payback,월급,2500천원,회사 급여 입금
2025.03.17,used,쇼핑,5만 원,온라인 쇼핑
2026/01/12,allowance,상여,700천원,프로젝트 보너스
2025년 04월 14일,used,교통,"8,000원",지하철 이용
2025년 01월 16일,payback,월급,300만 원,월급 수령
2025.06.30,입금,지원금,20만 원,지원금 입금
2025.04.21,출금,통신,55천원,휴대폰 요금
2025/02/01,payment,교육," 180,000 원 ",강의 결제
2025/12/13,payment,식비,18천원,저녁 식사
2026년 03월 12일,income,부수입,40만 원,사이드 수입
2025-11-19,출금,여가,40천원,여행 경비
2025-10-09,출금,쇼핑,55천원,옷 구매
2025년 08월 20일,payment,카페,4천원,디저트 카페
2025.11.01,other,교통,4천원,지하철 이용
2025-06-05,spend,교통,"8,000원",버스 충전
2025년 06월 19일,buy,교육," 50,000 원 ",강의 결제
2025.01.06,allowance,월급,2500천원,정기 급여
2025.08.12,spend,쇼핑,5만 원,옷 구매
2025-12-13,expense,여가,70천원,여행 경비
2025년 09월 14일,출금,생활,12천원,세제 구매
2026-01-28,payment,여가,12만 원,주말 나들이
2025-06-12,used,식비,45천원,저녁 식사
2025.05.31,spend,통신,"22,000원",알뜰폰 요금
2025.04.17,출금,식비,4천원,점심 식사
2025.11.20,spend,식비,"4,500원",점심 식사
2025-10-11,income,월급,210만 원,정기 급여
2025년 09월 12일,출금,생활,35천원,마트 장보기
2025-03-16,income,이자,1천원,예금 이자 입금
2025-09-25,spend,쇼핑,180천원,생활용품 구매
2025-10-24,payment,문화,1만 원,영화 관람
2025년 02월 20일,expense,여가,25천원,여행 경비
2025년 01월 11일,수익,중고판매,15만 원,중고거래 판매대금
2025-05-03,수익,월급," 2,300,000 원 ",월급 수령
2026/02/22,used,교통,4천원,버스 충전
2025-12-12,used,식비,"22,000원",편의점 식사
2025.05.05,refund,월급,2300천원,회사 급여 입금
2025-07-05,refund,상여," 300,000 원 ",명절 상여금
2025년 08월 05일,buy,교통,4천원,버스 충전
2025/05/02,지출,카페,"4,500원",카페 커피
2025년 02월 17일,salary,상여,"700,000원",명절 상여금
2026/02/17,bonus,월급,270만 원,월급 수령
2025년 09월 01일,other,식비,9천원,배달 음식 주문
2025-07-08,buy,교통,1천원,버스 충전
2025/05/19,지출,문화,4만 원,전시 관람
2025-07-19,buy,의료,1만 원,약국 구매
2025.07.05,buy,문화,8천원,전시 관람
2025년 05월 28일,용돈,환급,"12,000원",세금 환급
2026.03.28,used,교육,30천원,강의 결제
2025년 12월 06일,지출,교육,18만 원,수업 교재비
2026-03-10,expense,여가,1만 원,게임 결제
2025/11/08,지출,문화,18천원,영화 관람
2026/01/23,지출,교통,8천원,지하철 이용
2025.04.27,used,문화," 18,000 원 ",전시 관람
2025-02-27,used,통신," 18,000 원 ",알뜰폰 요금
2025-12-15,bonus,부수입,120천원,사이드 수입
2026-01-16,buy,문화,1만 원,전시 관람
2025/08/06,other,교통,8천원,버스 충전
2025.09.20,other,통신,2만 원,휴대폰 요금
2025/03/25,used,생활,12천원,마트 장보기
2025년 07월 30일,salary,용돈,50천원,용돈 받음
2025.05.02,other,식비,9천원,배달 음식 주문
2025년 12월 29일,입금,용돈,"200,000원",부모님 용돈
2025-03-28,other,식비,22천원,저녁 식사
2025/01/07,지출,식비,1만 원,배달 음식 주문
2025.06.08,payment,식비,3만 원,편의점 식사
2025.10.13,allowance,월급," 2,200,000 원 ",정기 급여
2025.10.16,refund,용돈,10만 원,부모님 용돈
2025-02-16,used,생활,5만 원,마트 장보기
2025/01/15,salary,월급," 2,500,000 원 ",월급 수령
2025.09.27,출금,여가,"5,000원",주말 나들이
2025.06.17,payment,의료,1만 원,약국 구매
2025년 07월 09일,지출,카페," 2,500 원 ",카페 커피
2025-04-21,출금,쇼핑,3만 원,온라인 쇼핑
2025년 04월 27일,refund,월급,2200천원,회사 급여 입금
2025-04-22,spend,식비,9천원,배달 음식 주문
2025/09/21,expense,교육," 80,000 원 ",강의 결제
2025-03-26,payment,식비,12천원,편의점 식사
2025-09-22,출금,여가,"40,000원",주말 나들이
2025년 01월 31일,used,교통," 8,000 원 ",택시 이용
2025/09/04,payment,식비,4만 원,점심 식사
2026.01.14,payment,식비,45천원,편의점 식사
2025-10-17,buy,카페,3천원,카페 커피
2026년 03월 05일,payback,월급,250만 원,정기 급여
2025-08-23,income,용돈," 200,000 원 ",용돈 받음
2025-12-14,payback,월급,3000천원,정기 급여
2026/01/05,spend,쇼핑,79천원,생활용품 구매
2026/02/01,수익,월급,210만 원,월급 수령
2025-01-22,bonus,용돈,"100,000원",가족 지원금
2025/08/07,buy,식비,7천원,배달 음식 주문
2026/03/07,지출,문화,15천원,영화 관람
2026.01.13,other,교통,1천원,택시 이용
2025.10.09,지출,생활,50천원,마트 장보기
2025년 12월 22일,other,교육,1만 원,강의 결제
2026.02.14,용돈,월급,2700천원,회사 급여 입금
2025.12.20,other,카페," 2,500 원 ",카페 커피
2025년 09월 07일,지출,교육,"15,000원",강의 결제
2025-03-23,buy,쇼핑,180천원,온라인 쇼핑
2025/09/28,수익,중고판매,7만 원,중고거래 판매대금
2025.07.04,other,교통,4천원,지하철 이용
2025/10/24,buy,식비,"30,000원",점심 식사
2025/03/15,payback,월급," 2,500,000 원 ",월급 수령
2025년 01월 18일,expense,여가,200천원,여행 경비
2025-11-21,bonus,부수입,8만 원,사이드 수입
2026년 01월 26일,buy,교통,2천원,택시 이용
2025/12/27,other,교통,"8,000원",지하철 이용
2025년 06월 28일,allowance,월급,2700천원,월급 수령
2025.06.04,출금,생활,1만 원,생필품 구입
2025-10-20,payment,여가,5천원,여행 경비
2025년 06월 05일,payment,여가,"200,000원",주말 나들이
2025-02-04,출금,카페,"4,500원",디저트 카페
2025년 11월 17일,bonus,환급,3천원,세금 환급
2025-11-05,expense,쇼핑," 25,000 원 ",생활용품 구매
2025/11/04,수익,월급,260만 원,정기 급여
2025.05.19,payment,교육,1만 원,강의 결제
2026/01/19,수익,상여,100만 원,명절 상여금
2025.08.01,payment,식비," 30,000 원 ",편의점 식사
2026-03-24,수익,중고판매,100천원,당근 판매 수입
2025/12/30,expense,교통,1천원,버스 충전
2026/01/28,payment,교통,4천원,지하철 이용
2025.11.05,used,식비,30천원,점심 식사
2025.10.09,used,쇼핑,3만 원,온라인 쇼핑
2025년 01월 05일,payment,식비,"9,000원",저녁 식사
2025/02/16,expense,생활,5천원,생필품 구입
2025/04/04,salary,용돈,50천원,용돈 받음
2025.06.29,other,카페," 3,800 원 ",음료 구매
2025-07-19,지출,교통,1천원,택시 이용
2025년 11월 27일,payment,의료,3천원,약국 구매
2025-07-12,buy,생활,5천원,세제 구매
2025.08.11,입금,월급,270만 원,정기 급여
2025/09/13,salary,용돈,"100,000원",가족 지원금
2025년 05월 25일,bonus,월급,230만 원,월급 수령
2025/01/27,payment,식비,4천원,편의점 식사
2025/03/13,지출,카페," 9,000 원 ",카페 커피
2025/01/05,payback,월급,2600천원,회사 급여 입금
2025/07/23,refund,월급,260만 원,회사 급여 입금
2025-11-18,buy,식비,2만 원,점심 식사
2026년 04월 03일,expense,교육,8만 원,강의 결제
2025년 04월 25일,expense,식비," 45,000 원 ",배달 음식 주문
2025/02/09,buy,식비,7천원,배달 음식 주문
2025.05.18,payback,월급,210만 원,월급 수령
2025년 06월 16일,used,의료," 40,000 원 ",병원 진료비
2026년 03월 24일,spend,카페,4천원,음료 구매
2025-03-19,spend,교통,1만 원,버스 충전
2025-09-14,spend,카페,3천원,카페 커피
2025.11.14,지출,여가,40천원,주말 나들이
2025년 08월 15일,지출,카페,5천원,음료 구매
2025-10-31,spend,교통,2천원,택시 이용
2025/09/27,입금,환급," 3,000 원 ",배송비 환급
2026.01.27,allowance,중고판매,150천원,물건 판매금
2025.09.02,expense,여가,200천원,주말 나들이
2025년 09월 28일,salary,월급,230만 원,정기 급여
2026.02.28,지출,의료,"15,000원",병원 진료비
2026.02.23,used,교통,4천원,버스 충전
2026.02.16,expense,카페," 4,500 원 ",디저트 카페
2025-12-22,salary,용돈,150천원,부모님 용돈
2025년 07월 07일,payment,의료,4만 원,병원 진료비
2025.10.12,수입,용돈,"150,000원",부모님 용돈
2025-05-21,used,카페,9천원,디저트 카페
2025-09-10,spend,식비,"15,000원",배달 음식 주문
2025.07.12,used,문화,18천원,책 구매
2025/07/17,buy,식비,1만 원,점심 식사
2025년 02월 06일,refund,월급," 3,000,000 원 ",월급 수령
2025년 11월 26일,other,식비," 30,000 원 ",편의점 식사
2025-04-01,other,교통,1천원,택시 이용
2026년 01월 15일,용돈,상여,"700,000원",명절 상여금
2025년 03월 02일,수익,부수입,5만 원,프리랜서 작업비
2026년 01월 21일,bonus,상여," 1,000,000 원 ",명절 상여금
2025/10/09,출금,교통,4천원,버스 충전
2025-04-08,used,식비,4만 원,배달 음식 주문
2025-05-11,spend,카페,6천원,디저트 카페
2025/05/08,used,통신,3만 원,휴대폰 요금
2025/10/02,other,여가,120천원,주말 나들이
2026-02-15,지출,쇼핑,120천원,옷 구매
2025년 07월 29일,지출,통신,3만 원,휴대폰 요금
2025년 12월 30일,수익,지원금,30만 원,지원금 입금
2025-04-15,income,월급,"2,100,000원",회사 급여 입금
2025년 09월 12일,payback,중고판매,10만 원,중고거래 판매대금
2026/01/04,buy,카페,"6,800원",카페 커피
2026-01-02,income,월급,2400천원,회사 급여 입금
2025/12/04,other,문화," 40,000 원 ",책 구매
2025.12.23,allowance,월급,"2,500,000원",회사 급여 입금
2026/01/04,입금,중고판매," 70,000 원 ",중고거래 판매대금
2025/12/07,지출,교통,2천원,지하철 이용
2025/04/25,buy,의료,25천원,약국 구매
2025-12-14,payment,식비,7천원,저녁 식사
2025.06.28,income,부수입," 80,000 원 ",알바비 정산
2025.11.03,buy,문화,"12,000원",책 구매
2026-01-27,used,식비,4천원,점심 식사
2025년 03월 19일,payment,식비,1만 원,편의점 식사
2026-01-16,used,식비,"7,000원",편의점 식사
2025-02-27,other,생활,5천원,마트 장보기
2025-02-19,spend,의료,40천원,병원 진료비
2025년 12월 06일,expense,교통,2천원,버스 충전
2025.05.14,income,부수입,80천원,알바비 정산
2025.03.02,지출,카페," 6,800 원 ",디저트 카페
2025-05-26,출금,식비,1만 원,저녁 식사
2025/01/28,buy,통신,2만 원,휴대폰 요금
2025-05-16,expense,교통,2천원,택시 이용
2025-10-24,payback,월급,2100천원,회사 급여 입금
2025-02-20,salary,용돈,"70,000원",가족 지원금
2025-08-25,payment,식비,2만 원,편의점 식사
2025/05/06,salary,상여,20만 원,명절 상여금
2025-04-23,expense,문화,8천원,책 구매
2026.02.03,expense,식비,"12,000원",점심 식사
2025년 02월 17일,출금,여가,20만 원,게임 결제
2026/03/01,지출,카페,7천원,디저트 카페
2026-02-27,used,여가,12만 원,주말 나들이
2026년 02월 05일,buy,카페,3천원,카페 커피
2026년 03월 26일,지출,여가,"40,000원",주말 나들이
2025/12/16,spend,교통,4천원,버스 충전
2026-03-05,spend,의료,12만 원,병원 진료비
2025.11.06,allowance,월급,2700천원,월급 수령
2025.06.21,spend,식비,3만 원,점심 식사
2025/05/19,refund,중고판매,10만 원,물건 판매금
2025.12.16,출금,교통," 4,500 원 ",지하철 이용
2025년 07월 05일,수익,월급,270만 원,월급 수령
2026년 03월 25일,buy,여가,200천원,여행 경비
2025.01.01,buy,식비,30천원,배달 음식 주문
2025년 10월 10일,spend,문화,1만 원,책 구매
2025년 11월 16일,used,카페," 4,500 원 ",디저트 카페
2026-02-19,other,여가,4만 원,게임 결제
2026/03/04,spend,식비,"30,000원",배달 음식 주문
2026.01.19,other,여가,1만 원,여행 경비
2025.10.28,spend,쇼핑,25천원,온라인 쇼핑
2025-05-04,spend,생활,"35,000원",세제 구매
2025.12.13,payment,쇼핑,12만 원,옷 구매
2025-10-22,payment,식비,9천원,저녁 식사
2026년 01월 14일,지출,의료,"40,000원",병원 진료비
2025.07.04,used,식비," 30,000 원 ",저녁 식사
2025년 07월 26일,refund,월급,260만 원,월급 수령
2025.04.15,spend,생활,5만 원,마트 장보기
2025.05.23,spend,쇼핑,180천원,생활용품 구매
2026-01-03,used,쇼핑,18만 원,온라인 쇼핑
2026.01.30,수익,상여,30만 원,명절 상여금
2025년 05월 05일,expense,교육,"250,000원",수업 교재비
2025년 12월 31일,salary,월급,"2,200,000원",월급 수령
2026.02.09,spend,교통," 4,500 원 ",지하철 이용
2025/12/31,spend,쇼핑,12만 원,옷 구매
2025/12/16,payback,월급,2100천원,정기 급여
